station_id,name,capacity,lat,lon,no_classic_count,no_docks_count,problem_count,total_count,pct_no_classic,pct_no_docks,pct_problem,bin_no_classic,bin_no_docks,bin_problem
a3b42f5f-a135-11e9-9cda-0a87ae2ba916,Central Park Ave & Bloomingdale Ave,11,41.914166,-87.716755,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b43478-a135-11e9-9cda-0a87ae2ba916,Latrobe Ave & Chicago Ave,7,41.894745,-87.756895,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b4399a-a135-11e9-9cda-0a87ae2ba916,Smith Park,15,41.892048,-87.689397,3,0,3,10,30.0,0.0,30.0,25% to 74%,0% to 9%,25% to 74%
a3b43eb7-a135-11e9-9cda-0a87ae2ba916,Western Ave & Fillmore St,11,41.868563,-87.686234,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b443ce-a135-11e9-9cda-0a87ae2ba916,Archer (Damen) Ave & 37th St,11,41.826712,-87.683144,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b4497a-a135-11e9-9cda-0a87ae2ba916,State St & 54th St,11,41.796642,-87.625923,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b44eba-a135-11e9-9cda-0a87ae2ba916,Racine Ave & 57th St,7,41.789696880483376,-87.65469789505005,0,10,10,10,0.0,100.0,100.0,0% to 9%,90% to 100%,90% to 100%
a3b453f2-a135-11e9-9cda-0a87ae2ba916,Carpenter St & 63rd St,7,41.77987,-87.650919,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b4590f-a135-11e9-9cda-0a87ae2ba916,Stewart Ave & 63rd St,11,41.779835,-87.634774,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b45e26-a135-11e9-9cda-0a87ae2ba916,Eggleston Ave & 69th St,11,41.768898,-87.635876,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b46866-a135-11e9-9cda-0a87ae2ba916,Rhodes Ave & 71st St,11,41.766,-87.611726,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b4728f-a135-11e9-9cda-0a87ae2ba916,Racine Ave & Washington Blvd,11,41.883073,-87.656952,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b477ac-a135-11e9-9cda-0a87ae2ba916,Hoyne Ave & Balmoral Ave,15,41.979851,-87.681932,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
