station_id,is_installed,is_returning,num_docks_available,is_renting,num_ebikes_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,num_scooters_available,num_scooters_unavailable,timestamp,n_classic,n_electric,n_scooters
1448642162257565290,1,1,2,1,1,0,0,1,0.0,0.0,01/22/2023 09:46 PM,0,1,0
1806749731492807140,1,1,2,1,0,0,0,0,,,05/12/2023 09:31 AM,0,0,0
1806749744377709078,1,1,4,1,0,0,0,0,,,05/01/2023 02:51 PM,0,0,0
1806753631323112136,1,1,2,1,0,0,0,0,0.0,,05/01/2023 03:06 PM,0,0,0
1715823792589300662,1,1,1,1,0,0,0,0,,,01/22/2023 09:47 PM,0,0,0
1695780078787721700,1,1,1,1,1,0,0,1,0.0,0.0,01/22/2023 09:44 PM,0,1,0
1674190153647663366,1,1,3,1,0,0,0,0,0.0,,01/22/2023 09:46 PM,0,0,0
1674190192302369108,1,1,1,1,0,0,1,0,,,01/22/2023 09:46 PM,0,0,0
1593766334653391756,1,1,7,1,2,0,0,2,0.0,0.0,01/22/2023 09:46 PM,0,2,0
1571105059410550802,1,1,6,1,2,0,0,2,0.0,0.0,01/22/2023 09:44 PM,0,2,0
1436495105198659242,1,1,6,1,1,0,0,1,0.0,1.0,07/28/2022 03:40 PM,0,1,0
1806749731492807132,1,1,3,1,0,0,0,0,,,05/01/2023 02:51 PM,0,0,0
1677249819534170178,1,1,1,1,0,0,0,0,,,01/22/2023 09:46 PM,0,0,0
1674190308266486306,1,1,1,1,1,0,0,1,0.0,0.0,01/22/2023 09:45 PM,0,1,0
1827474404723843682,1,1,3,1,2,0,0,2,0.0,0.0,06/26/2023 11:14 AM,0,2,0
1806753665682850718,1,1,2,1,0,0,0,0,,,05/01/2023 03:06 PM,0,0,0
1674190492950080348,1,1,0,1,2,0,0,2,0.0,0.0,01/22/2023 09:46 PM,0,2,0
1806753639913046774,1,1,2,1,0,0,0,0,,,05/01/2023 03:06 PM,0,0,0
1677249875368745110,1,1,1,1,0,0,0,0,,,01/22/2023 09:47 PM,0,0,0
1806749722902872482,1,1,3,1,1,0,0,1,0.0,0.0,05/01/2023 02:51 PM,0,1,0
1674190222367140236,1,1,2,1,0,0,0,0,0.0,,01/22/2023 09:46 PM,0,0,0
1806753648502981398,1,1,2,1,0,0,0,0,,,05/01/2023 03:06 PM,0,0,0
1674190677633674408,1,1,1,1,0,0,0,0,,,01/22/2023 09:44 PM,0,0,0
1715846688321143644,1,1,1,1,0,0,0,0,0.0,,01/22/2023 09:44 PM,0,0,0
1674190535899753380,1,1,1,1,0,0,0,0,0.0,,01/22/2023 09:45 PM,0,0,0
1715846700153782638,1,1,2,1,0,0,0,0,0.0,,01/22/2023 09:46 PM,0,0,0
1674190183712434506,1,1,2,1,0,0,0,0,0.0,,01/22/2023 09:46 PM,0,0,0
1674190157942630672,1,1,0,1,0,0,1,0,,,01/22/2023 09:46 PM,0,0,0
1436495115557663136,1,1,3,1,5,0,0,5,2.0,0.0,01/22/2023 09:44 PM,0,5,0
1806753665682850702,1,1,2,1,0,0,0,0,,,05/01/2023 03:06 PM,0,0,0
1674190291086617090,1,1,2,1,0,0,0,0,0.0,,01/22/2023 09:46 PM,0,0,0
1683527963645655062,1,1,1,1,0,0,0,0,,,01/22/2023 09:45 PM,0,0,0
1677249871073777812,1,1,1,1,0,0,0,0,,,01/22/2023 09:47 PM,0,0,0
1677249823829137478,1,1,2,1,0,0,0,0,,,01/22/2023 09:46 PM,0,0,0
1715823818359104470,1,1,1,1,0,0,0,0,0.0,,01/22/2023 09:45 PM,0,0,0
1695776937826575008,1,1,1,1,0,0,0,0,0.0,,01/22/2023 09:47 PM,0,0,0
1674190316856420914,1,1,3,1,1,0,0,1,0.0,0.0,01/22/2023 09:47 PM,0,1,0
1674190458590341922,1,1,1,1,0,0,0,0,,,01/22/2023 09:44 PM,0,0,0
1674190596029295624,1,1,1,1,0,0,0,0,0.0,,01/22/2023 09:45 PM,0,0,0
1806749727197839820,1,1,2,1,0,0,0,0,,,05/04/2023 12:52 PM,0,0,0
1806753652797948724,1,1,0,1,1,0,0,1,0.0,0.0,05/01/2023 03:06 PM,0,1,0
1806753657092916070,1,1,1,1,1,0,0,1,0.0,0.0,05/01/2023 03:06 PM,0,1,0
1715823801179235270,1,1,2,1,0,0,0,0,,,01/22/2023 09:44 PM,0,0,0
1448642183732401786,1,1,6,1,3,0,0,3,0.0,0.0,05/19/2023 02:01 PM,0,3,0
1674190402755766970,1,1,1,1,0,0,0,0,0.0,,01/22/2023 09:45 PM,0,0,0
1674190235252042142,1,1,2,1,0,0,0,0,0.0,,01/22/2023 09:47 PM,0,0,0
1594046392398205624,1,1,6,1,3,0,0,3,0.0,0.0,01/22/2023 09:44 PM,0,3,0
1806753635618079448,1,1,1,1,1,0,0,1,0.0,0.0,05/01/2023 03:06 PM,0,1,0
1594046452527747848,1,1,5,1,2,0,0,2,0.0,0.0,01/22/2023 09:47 PM,0,2,0
1806753661387883376,1,1,2,1,0,0,0,0,,,05/04/2023 12:48 PM,0,0,0
1674190514424916874,1,1,1,1,0,0,0,0,,,01/22/2023 09:46 PM,0,0,0
1806749731492807136,1,1,2,1,0,0,0,0,,,05/01/2023 02:51 PM,0,0,0
1561012870126088746,1,1,6,1,3,0,0,3,0.0,1.0,01/22/2023 09:46 PM,0,3,0
1674190505834982262,1,1,2,1,0,0,0,0,,,01/22/2023 09:46 PM,0,0,0
1563698701206292480,1,1,5,1,3,0,0,3,0.0,0.0,01/22/2023 09:44 PM,0,3,0
1674190230957074842,1,1,2,1,0,0,0,0,,,01/22/2023 09:44 PM,0,0,0
1674190514424916870,1,1,2,1,0,0,0,0,,,01/22/2023 09:47 PM,0,0,0
1806749748672676388,1,1,3,1,0,0,1,0,,,05/01/2023 02:51 PM,0,0,0
1674190188007401806,1,1,4,1,0,0,0,0,0.0,,01/22/2023 09:46 PM,0,0,0
1715846691563848024,1,1,2,1,0,0,0,0,1.0,0.0,01/22/2023 09:45 PM,0,0,0
1683527935820123118,1,1,1,1,0,0,0,0,0.0,,01/22/2023 09:47 PM,0,0,0
1674190402755766968,1,1,0,1,0,0,1,0,0.0,,01/22/2023 09:45 PM,0,0,0
1674190441410472712,1,1,5,1,0,0,0,0,,,01/22/2023 09:45 PM,0,0,0
1674190325446355532,1,1,2,1,0,0,0,0,0.0,,01/22/2023 09:45 PM,0,0,0
1674190265316813260,1,1,1,1,0,0,0,0,,,01/22/2023 09:45 PM,0,0,0
1806753661387883384,1,1,2,1,0,0,0,0,,,05/01/2023 03:06 PM,0,0,0
1674190346921192044,1,1,5,1,1,0,1,1,0.0,0.0,01/22/2023 09:46 PM,0,1,0
1715823812554906166,1,1,1,1,0,0,0,0,,,01/22/2023 09:44 PM,0,0,0
1806749744377709070,1,1,4,1,0,0,0,0,1.0,0.0,05/01/2023 02:51 PM,0,0,0
1683527944410057716,1,1,0,1,2,0,0,2,0.0,0.0,01/22/2023 09:44 PM,0,2,0
1677249810944235574,1,1,0,1,7,0,0,7,0.0,0.0,01/22/2023 09:44 PM,0,7,0
