Capacity,Station Type,Lon,Lat,Short Name,Name
19,classic,-87.6435,41.91021,TA1306000008,Larrabee St & North Ave
11,classic,-87.635876,41.768898,650,Eggleston Ave & 69th St
15,classic,-87.663913,41.928773,TA1307000113,Southport Ave & Wrightwood Ave
15,classic,-87.55721569,41.66631201,20217,Torrence Ave & 126th Pl
15,classic,-87.654678,41.94454,632,Clark St & Newport St
15,classic,-87.65806943,41.73237975,20102,Loomis St & 89th St
11,classic,-87.698045,41.910459,13258,California Ave & North Ave
11,classic,-87.611726,41.766,652,Rhodes Ave & 71st St
19,classic,-87.67722,41.895769,13132,Damen Ave & Chicago Ave
15,classic,-87.647172,41.830661,TA1308000043,Halsted St & 35th St
15,classic,-87.6107109,41.65841315,20211,Eberhart Ave & 131st St
15,classic,-87.56584167,41.71339748,20226,Oglesby Ave & 100th St
11,classic,-87.735737,41.877917,545,Kostner Ave & Adams St
11,classic,-87.551208,41.744615,TA1309000051,Commercial Ave & 83rd St
15,classic,-87.66347408,41.75923602,20245,Ashland Ave & 74th St
19,classic,-87.66857,42.015962,520,Greenview Ave & Jarvis Ave
15,classic,-87.59871483,41.69501045,20114,Doty Ave & 111th St
15,classic,-87.70141944,41.97563273,KA1504000160,Francisco Ave & Foster Ave
19,classic,-87.671473,41.889899,13432,Wood St & Hubbard St
19,classic,-87.64409781,41.93758232,13137,Broadway & Barry Ave
15,classic,-87.62258649,41.67064384,20210,State St & 123rd St
27,classic,-87.628722,41.897448,TA1307000061,State St & Pearson St
27,classic,-87.6439476,41.8781189,15539,Desplaines St & Jackson Blvd
15,classic,-87.668745,41.857901,TA1307000159,Paulina St & 18th St
19,classic,-87.62232,41.886835,TA1308000029,Stetson Ave & South Water St
27,classic,-87.654406,41.954245,13063,Sheridan Rd & Irving Park Rd
31,classic,-87.634266,41.889906,TA1307000151,Wells St & Hubbard St
15,classic,-87.55834222,41.73366879,20239,Marquette Ave & 89th St
11,classic,-87.59141599,41.78040565,KA1503000046,Dorchester Ave & 63rd St
11,classic,-87.70507303,41.85353363,15686,Kedzie Ave & 21st St
23,classic,-87.62351,41.89766,13034,Michigan Ave & Pearson St
11,classic,-87.60563486,41.77372095,KA1503000031,Cottage Grove Ave & 67th St
23,classic,-87.658139,41.965221,13074,Broadway & Wilson Ave
15,classic,-87.66772807,41.89595436,13247,Ashland Ave & Chicago Ave
15,classic,-87.695439,41.961068,15622,California Ave & Montrose Ave
23,classic,-87.627716,41.874053,SL-007,State St & Harrison St
15,classic,-87.68120348,41.7045871,20123,Western Ave & 104th St
11,classic,-87.62284398,41.74335976,587,Wabash Ave & 83rd St
15,classic,-87.62175769,41.89694463,13338,Mies van der Rohe Way & Chicago Ave
7,classic,-87.774704,41.894887,16921,Austin Blvd & Chicago Ave
15,classic,-87.697668,41.92669,15646,California Ave & Altgeld St
23,classic,-87.636427,41.932588,TA1309000039,DuSable Lake Shore Dr & Diversey Pkwy
31,classic,-87.63850577,41.88917683,KA1503000043,Kingsbury St & Kinzie St
11,classic,-87.61594286,41.78008064,KA1503000053,MLK Jr Dr & 63rd St
15,classic,-87.696027,41.968987,KA1504000080,Washtenaw Ave & Lawrence Ave
15,classic,-87.67945904,41.9756148,KA1504000149,Damen Ave & Foster Ave
27,classic,-87.638437,41.894666,TA1307000062,Sedgwick St & Huron St
11,classic,-87.727907,41.88085,534,Karlov Ave & Madison St
14,classic,-87.63682902,41.93668845,TA1307000041,DuSable Lake Shore Dr & Wellington Ave
43,classic,-87.642884,41.897764,TA1306000009,Larrabee St & Kingsbury St
15,classic,-87.66369939,41.75220485,20234,Ashland Ave & 78th St
15,classic,-87.61225998,41.70012138,20109,Vernon Ave & 107th St
15,classic,-87.64950514,41.95786652,13379,Clarendon Ave & Gordon Ter
15,classic,-87.743636,41.912732,21374,Kilpatrick Ave & Grand Ave
11,classic,-87.645143,41.838198,TA1309000055,Emerald Ave & 31st St
39,classic,-87.612813,41.886976,KA1503000064,Dusable Harbor
15,classic,-87.639474,41.870257,15550,Canal St & Taylor St
23,classic,-87.65102461,41.88577925,TA1306000015,Sangamon St & Lake St
