num_ebikes_available,num_docks_disabled,is_installed,num_bikes_disabled,is_returning,station_id,num_docks_available,num_scooters_unavailable,num_scooters_available,is_renting,num_bikes_available,timestamp,n_classic,n_electric,n_scooters
1,0,1,0,1,a3b11480-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,6,06/20/2024 10:09 PM,5,1,0
0,0,1,0,1,1936553212713581016,1,1.0,10.0,1,4,06/20/2024 10:09 PM,4,0,0
2,0,1,2,1,1943244520961310788,8,0.0,2.0,1,3,06/20/2024 10:09 PM,1,2,0
0,0,1,0,1,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,12,0.0,0.0,1,7,06/20/2024 10:09 PM,7,0,0
0,0,1,1,1,a3a79adb-a135-11e9-9cda-0a87ae2ba916,21,0.0,0.0,1,5,06/20/2024 10:09 PM,5,0,0
0,0,1,3,1,a3ac1607-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,11,06/20/2024 10:09 PM,11,0,0
2,0,1,1,1,732c9f35-0c82-4128-acc3-2cf447298b1d,4,0.0,0.0,1,10,06/20/2024 10:09 PM,8,2,0
3,0,1,0,1,a3ac9d43-a135-11e9-9cda-0a87ae2ba916,0,0.0,6.0,1,18,06/20/2024 10:09 PM,15,3,0
0,0,1,1,1,a3b419d9-a135-11e9-9cda-0a87ae2ba916,0,0.0,1.0,1,13,06/20/2024 10:09 PM,13,0,1
6,0,1,0,1,a3b00b3a-a135-11e9-9cda-0a87ae2ba916,1,0.0,1.0,1,13,06/20/2024 10:09 PM,7,6,0
0,0,1,2,1,1931696364106218226,8,0.0,0.0,1,5,06/20/2024 10:09 PM,5,0,0
0,0,1,2,1,430d5876-c44d-446e-ac53-065da9fb9c17,4,1.0,3.0,1,1,06/20/2024 10:09 PM,1,0,0
2,0,1,0,1,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,10,0.0,0.0,1,5,06/20/2024 10:09 PM,3,2,0
2,0,1,0,1,a3b13e66-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,5,06/20/2024 10:09 PM,3,2,0
0,0,1,0,1,a3a565b1-a135-11e9-9cda-0a87ae2ba916,19,,,1,0,06/20/2024 10:09 PM,0,0,0
1,0,1,1,1,a3af9a83-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,9,06/20/2024 10:09 PM,8,1,0
0,0,1,0,1,1934288718318207280,3,0.0,0.0,1,12,06/20/2024 10:09 PM,12,0,0
0,0,1,0,1,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,8,0.0,0.0,1,7,06/20/2024 10:09 PM,7,0,0
8,0,1,8,1,a3a8999a-a135-11e9-9cda-0a87ae2ba916,3,0.0,0.0,1,19,06/20/2024 10:09 PM,11,8,0
0,0,1,0,1,a3a854bf-a135-11e9-9cda-0a87ae2ba916,0,0.0,0.0,1,15,06/20/2024 10:09 PM,15,0,0
1,0,1,0,1,1869054242749504212,9,0.0,0.0,1,6,06/20/2024 10:09 PM,5,1,0
4,0,1,3,1,a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,9,0.0,4.0,1,11,06/20/2024 10:09 PM,7,4,0
