num_bikes_disabled,is_installed,num_bikes_available,num_ebikes_available,num_docks_disabled,num_docks_available,is_returning,is_renting,station_id,num_scooters_unavailable,num_scooters_available,timestamp,n_classic,n_electric,n_scooters
1,1,4,1,0,10,1,1,1870208802121658482,0.0,0.0,06/30/2024 06:08 PM,3,1,0
0,1,0,0,0,15,1,1,14d6e4b0-d0cc-4ccb-b757-e596d8c24a99,,,06/30/2024 06:08 PM,0,0,0
2,1,11,1,0,1,1,1,a3a58ee0-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,10,1,0
4,1,3,0,0,8,1,1,a3a5c440-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,3,0,0
0,1,8,6,0,2,1,1,a3b35885-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,2,6,0
0,1,6,3,0,3,1,1,1958859209051740602,0.0,6.0,06/30/2024 06:06 PM,3,3,0
1,1,4,3,0,10,1,1,1962566135789175644,0.0,0.0,06/30/2024 06:07 PM,1,3,0
1,1,1,1,0,9,1,1,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,0,1,0
0,1,3,0,0,1,1,1,1866476559603607834,0.0,0.0,06/30/2024 06:08 PM,3,0,0
2,1,7,0,0,5,1,1,1871990322214447924,0.0,1.0,06/30/2024 06:08 PM,7,0,0
1,1,4,2,0,2,1,1,a3b1eaa7-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,2,2,0
0,1,0,0,0,7,1,1,a3b241df-a135-11e9-9cda-0a87ae2ba916,,,06/30/2024 06:08 PM,0,0,0
2,1,2,0,0,11,1,1,a3a3bc53-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,2,0,0
1,1,10,7,0,4,1,1,1930641272056945296,0.0,0.0,06/30/2024 06:08 PM,3,7,0
1,1,10,1,0,0,1,1,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,9,1,0
1,1,6,1,0,8,1,1,a77136ee-060b-433b-88d0-ec74af1ef7ad,0.0,0.0,06/30/2024 06:08 PM,5,1,0
1,1,10,5,0,0,1,1,a3adbedf-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,5,5,0
3,1,6,0,0,6,1,1,1945178760530424534,0.0,0.0,06/30/2024 06:08 PM,6,0,0
0,1,1,1,0,14,1,1,1943240055911940522,0.0,0.0,06/30/2024 06:08 PM,0,1,0
1,1,2,0,0,12,1,1,1872721263815561908,0.0,0.0,06/30/2024 06:08 PM,2,0,0
3,1,15,2,0,1,1,1,a3a8711c-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,13,2,0
0,1,4,2,0,7,1,1,a3a7d279-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,2,2,0
1,1,8,0,0,20,1,1,a3a42574-a135-11e9-9cda-0a87ae2ba916,0.0,6.0,06/30/2024 06:08 PM,8,0,6
0,1,13,0,0,2,1,1,1871991855517771832,0.0,0.0,06/30/2024 06:08 PM,13,0,0
0,1,6,0,0,12,1,1,a3a434ce-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,6,0,0
0,1,12,0,0,7,1,1,a3ad2843-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,12,0,0
0,1,4,1,0,19,1,1,9e5ce0b6-198f-48fa-9363-64ab5ec2b222,0.0,0.0,06/30/2024 06:08 PM,3,1,0
2,1,10,5,0,7,1,1,a3a7dc8c-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,5,5,0
2,1,9,0,0,0,1,1,a3ad42c3-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,9,0,0
