num_bikes_disabled,is_renting,num_docks_disabled,num_ebikes_available,is_returning,station_id,num_bikes_available,num_docks_available,is_installed,num_scooters_available,num_scooters_unavailable,timestamp,n_classic,n_electric,n_scooters
0,1,1,0,1,1965904499533560722,0,10,1,,,07/05/2024 02:05 AM,0,0,0
1,1,0,3,1,a3a89488-a135-11e9-9cda-0a87ae2ba916,13,4,1,0.0,0.0,07/05/2024 02:07 AM,10,3,0
2,1,0,0,1,a3a49288-a135-11e9-9cda-0a87ae2ba916,5,14,1,0.0,2.0,07/05/2024 02:07 AM,5,0,0
5,1,0,1,1,a3a378ca-a135-11e9-9cda-0a87ae2ba916,15,1,1,0.0,1.0,07/05/2024 02:07 AM,14,1,0
1,1,0,0,1,1867617341378224632,12,2,1,0.0,0.0,07/05/2024 02:07 AM,12,0,0
3,1,0,0,1,a3a88f84-a135-11e9-9cda-0a87ae2ba916,0,16,1,0.0,0.0,07/05/2024 02:07 AM,0,0,0
2,1,0,0,1,a3b20e8a-a135-11e9-9cda-0a87ae2ba916,3,6,1,0.0,0.0,07/05/2024 02:07 AM,3,0,0
0,1,0,0,1,a3b21de7-a135-11e9-9cda-0a87ae2ba916,10,1,1,0.0,0.0,07/05/2024 02:07 AM,10,0,0
1,1,0,5,1,a3afb917-a135-11e9-9cda-0a87ae2ba916,7,7,1,0.0,0.0,07/05/2024 02:07 AM,2,5,0
1,1,0,3,1,1926946441362045298,13,1,1,0.0,0.0,07/05/2024 02:07 AM,10,3,0
3,1,0,1,1,a3aa10ca-a135-11e9-9cda-0a87ae2ba916,7,9,1,0.0,0.0,07/05/2024 02:07 AM,6,1,0
2,1,0,7,1,a3a61a0b-a135-11e9-9cda-0a87ae2ba916,10,2,1,1.0,0.0,07/05/2024 02:07 AM,3,7,0
4,1,0,0,1,6fd280b0-74de-4a89-947d-3be40afa079c,3,8,1,0.0,0.0,07/05/2024 02:07 AM,3,0,0
1,1,0,5,1,a3b0f0b6-a135-11e9-9cda-0a87ae2ba916,7,7,1,0.0,0.0,07/05/2024 02:07 AM,2,5,0
0,1,0,2,1,a3aa7373-a135-11e9-9cda-0a87ae2ba916,7,7,1,1.0,0.0,07/05/2024 02:07 AM,5,2,0
4,1,0,2,1,1936566008041245278,7,0,1,0.0,0.0,07/05/2024 02:07 AM,5,2,0
2,1,0,2,1,a3b300d3-a135-11e9-9cda-0a87ae2ba916,13,0,1,0.0,0.0,07/05/2024 02:07 AM,11,2,0
0,1,0,0,1,a3ad8587-a135-11e9-9cda-0a87ae2ba916,8,18,1,1.0,0.0,07/05/2024 02:07 AM,8,0,0
1,1,0,0,1,7e435d2a-617e-4c3f-bed0-a8801c20f265,7,7,1,0.0,0.0,07/05/2024 02:07 AM,7,0,0
1,1,0,4,1,a3a5d8db-a135-11e9-9cda-0a87ae2ba916,6,11,1,0.0,0.0,07/05/2024 02:07 AM,2,4,0
1,1,0,2,1,1861613253877461614,4,10,1,0.0,0.0,07/05/2024 02:07 AM,2,2,0
3,1,0,1,1,a3a46896-a135-11e9-9cda-0a87ae2ba916,10,15,1,0.0,0.0,07/05/2024 02:07 AM,9,1,0
0,1,0,1,1,a3ad8aa3-a135-11e9-9cda-0a87ae2ba916,7,8,1,0.0,0.0,07/05/2024 02:07 AM,6,1,0
0,1,0,4,1,1958860355622110046,14,1,1,0.0,0.0,07/05/2024 02:07 AM,10,4,0
4,1,0,2,1,a3b0bd42-a135-11e9-9cda-0a87ae2ba916,4,7,1,0.0,0.0,07/05/2024 02:07 AM,2,2,0
3,1,0,2,1,a3b2810e-a135-11e9-9cda-0a87ae2ba916,3,5,1,0.0,0.0,07/05/2024 02:07 AM,1,2,0
0,1,0,3,1,a3aa59bb-a135-11e9-9cda-0a87ae2ba916,3,7,1,1.0,0.0,07/05/2024 02:07 AM,0,3,0
